timestamp_offset_sec,zone,co_ppm,h2s_ppm,ch4_percent_lel,temp_c,pressure_bar,vibration_g,oxygen_percent,worker_count,permit_active,permit_type,shift_changeover_in_min
15,A1,8.8,1.1,1.8,28.3,1.01,0.05,20.6,2,true,confined_space,30
15,B2,15.8,1.9,3.8,32.6,1.02,0.095,20.8,3,true,general_maintenance,0
15,C3,30.0,2.9,7.2,36.8,1.045,0.165,20.6,4,false,none,30
16,A1,8.8,1.2,1.8,28.3,1.01,0.05,20.5,2,true,confined_space,29
16,B2,16.0,2.0,3.8,32.6,1.02,0.096,20.8,3,true,general_maintenance,0
16,C3,30.8,2.9,7.4,36.8,1.046,0.166,20.6,4,false,none,29
17,A1,8.8,1.2,1.8,28.3,1.01,0.05,20.5,2,true,confined_space,28
17,B2,16.2,2.0,3.9,32.7,1.02,0.097,20.8,3,true,general_maintenance,0
17,C3,31.6,3.0,7.5,36.9,1.047,0.167,20.6,4,false,none,28
18,A1,8.9,1.2,1.9,28.4,1.01,0.05,20.5,2,true,confined_space,27
18,B2,16.5,2.0,3.9,32.7,1.02,0.098,20.8,3,true,general_maintenance,0
18,C3,32.4,3.0,7.7,36.9,1.048,0.168,20.6,4,false,none,27
19,A1,8.9,1.2,1.9,28.4,1.01,0.05,20.5,2,true,confined_space,26
19,B2,16.8,2.1,4.0,32.8,1.02,0.099,20.8,3,true,general_maintenance,0
19,C3,33.2,3.1,7.8,37.0,1.049,0.169,20.6,4,false,none,26
20,A1,9.0,1.2,1.9,28.4,1.01,0.05,20.5,2,true,confined_space,25
20,B2,17.0,2.1,4.0,32.8,1.02,0.1,20.8,3,true,general_maintenance,0
20,C3,34.0,3.1,8.0,37.0,1.05,0.17,20.6,4,false,none,25
21,A1,9.1,1.2,1.9,28.4,1.01,0.05,20.4,2,true,confined_space,24
21,B2,17.2,2.1,4.0,32.8,1.02,0.101,20.8,3,true,general_maintenance,0
21,C3,34.0,3.2,8.2,37.0,1.04,0.17,20.5,5,true,hot_work,24
22,A1,9.1,1.2,1.9,28.4,1.01,0.05,20.4,2,true,confined_space,23
22,B2,17.5,2.2,4.1,32.9,1.02,0.102,20.8,3,true,general_maintenance,0
22,C3,35.8,3.3,8.5,37.1,1.043,0.175,20.5,5,true,hot_work,23
23,A1,9.2,1.2,2.0,28.5,1.01,0.05,20.4,2,true,confined_space,22
23,B2,17.8,2.2,4.2,32.9,1.02,0.103,20.8,3,true,general_maintenance,0
23,C3,37.6,3.4,8.9,37.2,1.046,0.18,20.5,5,true,hot_work,22
24,A1,9.2,1.2,2.0,28.5,1.01,0.05,20.4,2,true,confined_space,21
24,B2,18.0,2.2,4.2,33.0,1.02,0.104,20.8,3,true,general_maintenance,0
24,C3,39.4,3.6,9.2,37.4,1.049,0.185,20.5,5,true,hot_work,21
25,A1,9.2,1.2,2.0,28.5,1.01,0.05,20.3,2,true,confined_space,20
25,B2,18.2,2.2,4.2,33.0,1.02,0.105,20.8,3,true,general_maintenance,0
25,C3,41.2,3.7,9.6,37.5,1.052,0.19,20.5,5,true,hot_work,20
26,A1,9.3,1.3,2.0,28.5,1.01,0.05,20.3,2,true,confined_space,19
26,B2,18.5,2.3,4.3,33.0,1.02,0.106,20.7,3,true,general_maintenance,0
26,C3,43.0,3.8,9.9,37.6,1.055,0.195,20.4,5,true,hot_work,19
27,A1,9.3,1.3,2.0,28.5,1.01,0.05,20.3,2,true,confined_space,18
27,B2,18.8,2.3,4.3,33.1,1.02,0.107,20.7,3,true,general_maintenance,0
27,C3,44.8,3.9,10.3,37.7,1.058,0.2,20.4,5,true,hot_work,18
28,A1,9.4,1.3,2.1,28.6,1.01,0.05,20.3,2,true,confined_space,17
28,B2,19.0,2.3,4.4,33.1,1.02,0.108,20.7,3,true,general_maintenance,0
28,C3,46.6,4.0,10.6,37.8,1.061,0.205,20.4,5,true,hot_work,17
29,A1,9.4,1.3,2.1,28.6,1.01,0.05,20.3,2,true,confined_space,16
29,B2,19.2,2.4,4.5,33.2,1.02,0.109,20.7,3,true,general_maintenance,0
29,C3,48.4,4.2,11.0,38.0,1.064,0.21,20.4,5,true,hot_work,16
30,A1,9.5,1.3,2.1,28.6,1.01,0.05,20.2,2,true,confined_space,15
30,B2,19.5,2.4,4.5,33.2,1.02,0.11,20.7,3,true,general_maintenance,0
30,C3,50.2,4.3,11.3,38.1,1.067,0.215,20.4,5,true,hot_work,15
31,A1,9.6,1.3,2.1,28.6,1.01,0.05,20.2,2,true,confined_space,14
31,B2,19.8,2.4,4.5,33.2,1.02,0.111,20.7,3,true,general_maintenance,0
31,C3,52.0,4.4,11.7,38.2,1.07,0.22,20.4,5,true,hot_work,14
32,A1,9.6,1.3,2.1,28.6,1.01,0.05,20.2,2,true,confined_space,13
32,B2,20.0,2.5,4.6,33.3,1.02,0.112,20.7,3,true,general_maintenance,0
32,C3,53.8,4.5,12.0,38.3,1.073,0.225,20.4,5,true,hot_work,13
33,A1,9.7,1.3,2.2,28.7,1.01,0.05,20.2,2,true,confined_space,12
33,B2,20.2,2.5,4.7,33.3,1.02,0.113,20.7,3,true,general_maintenance,0
33,C3,55.6,4.6,12.4,38.4,1.076,0.23,20.4,5,true,hot_work,12
34,A1,9.7,1.3,2.2,28.7,1.01,0.05,20.2,2,true,confined_space,11
34,B2,20.5,2.5,4.7,33.4,1.02,0.114,20.7,3,true,general_maintenance,0
34,C3,57.4,4.8,12.8,38.6,1.079,0.235,20.3,5,true,hot_work,11
35,A1,9.8,1.4,2.2,28.7,1.01,0.05,20.1,2,true,confined_space,10
35,B2,20.8,2.5,4.8,33.4,1.02,0.115,20.7,3,true,general_maintenance,0
35,C3,59.2,4.9,13.1,38.7,1.082,0.24,20.3,5,true,hot_work,10
36,A1,9.8,1.4,2.2,28.7,1.01,0.05,20.1,2,true,confined_space,9
36,B2,21.0,2.6,4.8,33.4,1.02,0.116,20.7,3,true,general_maintenance,0
36,C3,61.0,5.0,13.4,38.8,1.085,0.245,20.3,5,true,hot_work,9
37,A1,9.8,1.4,2.2,28.7,1.01,0.05,20.1,2,true,confined_space,8
37,B2,21.2,2.6,4.8,33.5,1.02,0.117,20.7,3,true,general_maintenance,0
37,C3,62.8,5.1,13.8,38.9,1.088,0.25,20.3,5,true,hot_work,8
38,A1,9.9,1.4,2.3,28.8,1.01,0.05,20.1,2,true,confined_space,7
38,B2,21.5,2.6,4.9,33.5,1.02,0.118,20.7,3,true,general_maintenance,0
38,C3,64.6,5.2,14.1,39.0,1.091,0.255,20.3,5,true,hot_work,7
39,A1,9.9,1.4,2.3,28.8,1.01,0.05,20.0,2,true,confined_space,6
39,B2,21.8,2.7,5.0,33.6,1.02,0.119,20.7,3,true,general_maintenance,0
39,C3,66.4,5.4,14.5,39.2,1.094,0.26,20.3,5,true,hot_work,6
40,A1,10.0,1.4,2.3,28.8,1.01,0.05,20.0,2,true,confined_space,5
40,B2,22.0,2.7,5.0,33.6,1.02,0.12,20.7,3,true,general_maintenance,0
40,C3,68.2,5.5,14.8,39.3,1.097,0.265,20.3,5,true,hot_work,5
41,A1,10.1,1.4,2.3,28.8,1.01,0.05,20.0,2,true,confined_space,4
41,B2,22.2,2.7,5.1,33.6,1.02,0.121,20.7,3,true,general_maintenance,0
41,C3,70.0,5.6,15.2,39.4,1.1,0.27,20.3,5,true,hot_work,4
42,A1,10.1,1.4,2.3,28.8,1.01,0.05,20.0,2,true,confined_space,3
42,B2,22.5,2.8,5.1,33.7,1.02,0.122,20.7,3,true,general_maintenance,0
42,C3,71.8,5.7,15.5,39.5,1.103,0.275,20.2,5,true,hot_work,3
43,A1,10.2,1.4,2.4,28.9,1.01,0.05,20.0,2,true,confined_space,2
43,B2,22.8,2.8,5.2,33.7,1.02,0.123,20.7,3,true,general_maintenance,0
43,C3,73.6,5.8,15.9,39.6,1.106,0.28,20.2,5,true,hot_work,2
44,A1,10.2,1.4,2.4,28.9,1.01,0.05,19.9,2,true,confined_space,1
44,B2,23.0,2.8,5.2,33.8,1.02,0.124,20.7,3,true,general_maintenance,0
44,C3,75.4,6.0,16.2,39.8,1.109,0.285,20.2,5,true,hot_work,1
45,A1,10.2,1.4,2.4,28.9,1.01,0.05,19.9,2,true,confined_space,0
45,B2,23.2,2.8,5.2,33.8,1.02,0.125,20.7,3,true,general_maintenance,0
45,C3,77.2,6.1,16.6,39.9,1.112,0.29,20.2,5,true,hot_work,0
46,A1,10.3,1.5,2.4,28.9,1.01,0.05,19.9,2,true,confined_space,0
46,B2,23.5,2.9,5.3,33.8,1.02,0.126,20.7,3,true,general_maintenance,0
46,C3,79.0,6.2,17.1,40.0,1.11,0.29,19.8,6,true,hot_work,3
47,A1,10.3,1.5,2.4,28.9,1.01,0.05,19.9,2,true,confined_space,0
47,B2,23.8,2.9,5.3,33.9,1.02,0.127,20.7,3,true,general_maintenance,0
47,C3,81.2,6.4,17.7,40.2,1.114,0.298,19.8,6,true,hot_work,3
48,A1,10.4,1.5,2.5,29.0,1.01,0.05,19.8,2,true,confined_space,0
48,B2,24.0,2.9,5.4,33.9,1.02,0.128,20.7,3,true,general_maintenance,0
48,C3,83.4,6.6,18.2,40.4,1.118,0.306,19.8,6,true,hot_work,3
49,A1,10.4,1.5,2.5,29.0,1.01,0.05,19.8,2,true,confined_space,0
49,B2,24.2,3.0,5.5,34.0,1.02,0.129,20.7,3,true,general_maintenance,0
49,C3,85.6,6.7,18.8,40.5,1.122,0.314,19.7,6,true,hot_work,3
50,A1,10.5,1.5,2.5,29.0,1.01,0.05,19.8,2,true,confined_space,0
50,B2,24.5,3.0,5.5,34.0,1.02,0.13,20.7,3,true,general_maintenance,0
50,C3,87.8,6.9,19.3,40.7,1.126,0.322,19.7,6,true,hot_work,3
51,A1,10.6,1.5,2.5,29.0,1.01,0.05,19.8,2,true,confined_space,0
51,B2,24.8,3.0,5.6,34.0,1.02,0.131,20.7,3,true,general_maintenance,0
51,C3,90.0,7.1,19.9,40.9,1.13,0.33,19.7,6,true,hot_work,3
52,A1,10.6,1.5,2.5,29.0,1.01,0.05,19.8,2,true,confined_space,0
52,B2,25.0,3.1,5.6,34.1,1.02,0.132,20.7,3,true,general_maintenance,0
52,C3,92.2,7.3,20.4,41.1,1.134,0.338,19.7,6,true,hot_work,3
53,A1,10.7,1.5,2.6,29.1,1.01,0.05,19.7,2,true,confined_space,0
53,B2,25.2,3.1,5.7,34.1,1.02,0.133,20.7,3,true,general_maintenance,0
53,C3,94.4,7.5,21.0,41.3,1.138,0.346,19.7,6,true,hot_work,3
54,A1,10.7,1.5,2.6,29.1,1.01,0.05,19.7,2,true,confined_space,0
54,B2,25.5,3.1,5.7,34.2,1.02,0.134,20.7,3,true,general_maintenance,0
54,C3,96.6,7.6,21.5,41.4,1.142,0.354,19.6,6,true,hot_work,2
55,A1,10.8,1.6,2.6,29.1,1.01,0.05,19.7,2,true,confined_space,0
55,B2,25.8,3.1,5.8,34.2,1.02,0.135,20.7,3,true,general_maintenance,0
55,C3,98.8,7.8,22.1,41.6,1.146,0.362,19.6,6,true,hot_work,2
56,A1,10.8,1.6,2.6,29.1,1.01,0.05,19.7,2,true,confined_space,0
56,B2,26.0,3.2,5.8,34.2,1.02,0.136,20.7,3,true,general_maintenance,0
56,C3,101.0,8.0,22.6,41.8,1.15,0.37,19.6,6,true,hot_work,2
57,A1,10.8,1.6,2.6,29.1,1.01,0.05,19.6,2,true,confined_space,0
57,B2,26.2,3.2,5.8,34.3,1.02,0.137,20.7,3,true,general_maintenance,0
57,C3,103.2,8.2,23.2,42.0,1.154,0.378,19.6,6,true,hot_work,2
58,A1,10.9,1.6,2.7,29.2,1.01,0.05,19.6,2,true,confined_space,0
58,B2,26.5,3.2,5.9,34.3,1.02,0.138,20.7,3,true,general_maintenance,0
58,C3,105.4,8.4,23.7,42.2,1.158,0.386,19.6,6,true,hot_work,2
59,A1,10.9,1.6,2.7,29.2,1.01,0.05,19.6,2,true,confined_space,0
59,B2,26.8,3.3,6.0,34.4,1.02,0.139,20.7,3,true,general_maintenance,0
59,C3,107.6,8.5,24.2,42.3,1.162,0.394,19.5,6,true,hot_work,2
60,A1,11.0,1.6,2.7,29.2,1.01,0.05,19.6,2,true,confined_space,0
60,B2,27.0,3.3,6.0,34.4,1.02,0.14,20.7,3,true,general_maintenance,0
60,C3,109.8,8.7,24.8,42.5,1.166,0.402,19.5,6,true,hot_work,2
61,A1,11.1,1.6,2.7,29.2,1.01,0.05,19.6,2,true,confined_space,0
61,B2,27.2,3.3,6.1,34.4,1.02,0.141,20.7,3,true,general_maintenance,0
61,C3,112.0,8.9,25.4,42.7,1.17,0.41,19.5,6,true,hot_work,2
62,A1,11.1,1.6,2.7,29.2,1.01,0.05,19.5,2,true,confined_space,0
62,B2,27.5,3.4,6.1,34.5,1.02,0.142,20.7,3,true,general_maintenance,0
62,C3,114.2,9.1,25.9,42.9,1.174,0.418,19.5,6,true,hot_work,1
63,A1,11.2,1.6,2.8,29.3,1.01,0.05,19.5,2,true,confined_space,0
63,B2,27.8,3.4,6.2,34.5,1.02,0.143,20.7,3,true,general_maintenance,0
63,C3,116.4,9.3,26.5,43.1,1.178,0.426,19.5,6,true,hot_work,1
64,A1,11.2,1.6,2.8,29.3,1.01,0.05,19.5,2,true,confined_space,0
64,B2,28.0,3.4,6.2,34.6,1.02,0.144,20.7,3,true,general_maintenance,0
64,C3,118.6,9.4,27.0,43.2,1.182,0.434,19.4,6,true,hot_work,1
65,A1,11.2,1.6,2.8,29.3,1.01,0.05,19.5,2,true,confined_space,0
65,B2,28.2,3.5,6.2,34.6,1.02,0.145,20.7,3,true,general_maintenance,0
65,C3,120.8,9.6,27.6,43.4,1.186,0.442,19.4,6,true,hot_work,1
66,A1,11.3,1.7,2.8,29.3,1.01,0.05,19.4,2,true,confined_space,0
66,B2,28.5,3.5,6.3,34.6,1.02,0.146,20.7,3,true,general_maintenance,0
66,C3,123.0,9.8,28.1,43.6,1.19,0.45,19.4,6,true,hot_work,1
67,A1,11.3,1.7,2.8,29.3,1.01,0.05,19.4,2,true,confined_space,0
67,B2,28.8,3.5,6.3,34.7,1.02,0.147,20.7,3,true,general_maintenance,0
67,C3,125.2,10.0,28.7,43.8,1.194,0.458,19.4,6,true,hot_work,1
68,A1,11.4,1.7,2.9,29.4,1.01,0.05,19.4,2,true,confined_space,0
68,B2,29.0,3.5,6.4,34.7,1.02,0.148,20.7,3,true,general_maintenance,0
68,C3,127.4,10.2,29.2,44.0,1.198,0.466,19.4,6,true,hot_work,1
69,A1,11.4,1.7,2.9,29.4,1.01,0.05,19.4,2,true,confined_space,0
69,B2,29.2,3.6,6.5,34.8,1.02,0.149,20.7,3,true,general_maintenance,0
69,C3,129.6,10.3,29.8,44.1,1.202,0.474,19.3,6,true,hot_work,1
70,A1,11.5,1.7,2.9,29.4,1.01,0.05,19.4,2,true,confined_space,0
70,B2,29.5,3.6,6.5,34.8,1.02,0.15,20.7,3,true,general_maintenance,0
70,C3,131.8,10.5,30.3,44.3,1.206,0.482,19.3,6,true,hot_work,0
71,A1,11.6,1.7,2.9,29.4,1.01,0.05,19.3,2,true,confined_space,0
71,B2,29.8,3.6,6.6,34.8,1.02,0.151,20.7,3,true,general_maintenance,0
71,C3,134.0,10.7,31.1,45.0,1.21,0.51,19.0,7,true,hot_work,0
72,A1,11.6,1.7,2.9,29.4,1.01,0.05,19.3,2,true,confined_space,0
72,B2,30.0,3.7,6.6,34.9,1.02,0.152,20.7,3,true,general_maintenance,0
72,C3,136.8,10.9,31.8,45.2,1.215,0.522,19.0,7,true,hot_work,0
73,A1,11.7,1.7,3.0,29.5,1.01,0.05,19.3,2,true,confined_space,0
73,B2,30.2,3.7,6.7,34.9,1.02,0.153,20.7,3,true,general_maintenance,0
73,C3,139.6,11.1,32.5,45.5,1.22,0.534,18.9,7,true,hot_work,0
74,A1,11.7,1.7,3.0,29.5,1.01,0.05,19.3,2,true,confined_space,0
74,B2,30.5,3.7,6.7,35.0,1.02,0.154,20.7,3,true,general_maintenance,0
74,C3,142.4,11.4,33.2,45.8,1.225,0.546,18.9,7,true,hot_work,0
75,A1,11.8,1.8,3.0,29.5,1.01,0.05,19.2,2,true,confined_space,0
75,B2,30.8,3.8,6.8,35.0,1.02,0.155,20.7,3,true,general_maintenance,0
75,C3,145.2,11.6,33.9,46.0,1.23,0.558,18.9,7,true,hot_work,0
76,A1,11.8,1.8,3.0,29.5,1.01,0.05,19.2,2,true,confined_space,0
76,B2,31.0,3.8,6.8,35.0,1.02,0.156,20.6,3,true,general_maintenance,0
76,C3,148.0,11.8,34.6,46.2,1.235,0.57,18.9,7,true,hot_work,0
77,A1,11.8,1.8,3.0,29.5,1.01,0.05,19.2,2,true,confined_space,0
77,B2,31.2,3.8,6.8,35.1,1.02,0.157,20.6,3,true,general_maintenance,0
77,C3,150.8,12.0,35.3,46.5,1.24,0.582,18.8,7,true,hot_work,0
78,A1,11.9,1.8,3.1,29.6,1.01,0.05,19.2,2,true,confined_space,0
78,B2,31.5,3.8,6.9,35.1,1.02,0.158,20.6,3,true,general_maintenance,0
78,C3,153.6,12.2,36.0,46.8,1.245,0.594,18.8,7,true,hot_work,0
79,A1,11.9,1.8,3.1,29.6,1.01,0.05,19.2,2,true,confined_space,0
79,B2,31.8,3.9,7.0,35.2,1.02,0.159,20.6,3,true,general_maintenance,0
79,C3,156.4,12.5,36.7,47.0,1.25,0.606,18.8,7,true,hot_work,0
80,A1,12.0,1.8,3.1,29.6,1.01,0.05,19.1,2,true,confined_space,0
80,B2,32.0,3.9,7.0,35.2,1.02,0.16,20.6,3,true,general_maintenance,0
80,C3,159.2,12.7,37.4,47.2,1.255,0.618,18.7,7,true,hot_work,0
81,A1,12.1,1.8,3.1,29.6,1.01,0.05,19.1,2,true,confined_space,0
81,B2,32.2,3.9,7.0,35.2,1.02,0.161,20.6,3,true,general_maintenance,0
81,C3,162.0,12.9,38.1,47.5,1.26,0.63,18.7,8,true,hot_work,0
82,A1,12.1,1.8,3.1,29.6,1.01,0.05,19.1,2,true,confined_space,0
82,B2,32.5,4.0,7.1,35.3,1.02,0.162,20.6,3,true,general_maintenance,0
82,C3,164.8,13.1,38.8,47.8,1.265,0.642,18.7,8,true,hot_work,0
83,A1,12.2,1.8,3.2,29.7,1.01,0.05,19.1,2,true,confined_space,0
83,B2,32.8,4.0,7.2,35.3,1.02,0.163,20.6,3,true,general_maintenance,0
83,C3,167.6,13.3,39.5,48.0,1.27,0.654,18.6,8,true,hot_work,0
84,A1,12.2,1.8,3.2,29.7,1.01,0.05,19.1,2,true,confined_space,0
84,B2,33.0,4.0,7.2,35.4,1.02,0.164,20.6,3,true,general_maintenance,0
84,C3,170.4,13.6,40.2,48.2,1.275,0.666,18.6,8,true,hot_work,0
85,A1,12.2,1.9,3.2,29.7,1.01,0.05,19.0,2,true,confined_space,0
85,B2,33.2,4.0,7.2,35.4,1.02,0.165,20.6,3,true,general_maintenance,0
85,C3,173.2,13.8,40.9,48.5,1.28,0.678,18.6,8,true,hot_work,0
86,A1,12.3,1.9,3.2,29.7,1.01,0.05,19.0,2,true,confined_space,0
86,B2,33.5,4.1,7.3,35.4,1.02,0.166,20.6,3,true,general_maintenance,0
86,C3,176.0,14.0,41.6,48.8,1.285,0.69,18.6,8,true,hot_work,0
87,A1,12.4,1.9,3.2,29.7,1.01,0.05,19.0,2,true,confined_space,0
87,B2,33.8,4.1,7.4,35.5,1.02,0.167,20.6,3,true,general_maintenance,0
87,C3,178.8,14.2,42.3,49.0,1.29,0.702,18.5,8,true,hot_work,0
88,A1,12.4,1.9,3.3,29.8,1.01,0.05,19.0,2,true,confined_space,0
88,B2,34.0,4.1,7.4,35.5,1.02,0.168,20.6,3,true,general_maintenance,0
88,C3,181.6,14.4,43.0,49.2,1.295,0.714,18.5,8,true,hot_work,0
89,A1,12.4,1.9,3.3,29.8,1.01,0.05,18.9,2,true,confined_space,0
89,B2,34.2,4.2,7.5,35.6,1.02,0.169,20.6,3,true,general_maintenance,0
89,C3,184.4,14.7,43.7,49.5,1.3,0.726,18.5,8,true,hot_work,0
